,Title,Published_date,Views,Likes,Comments,Month
571,12/20 Optum Walkoff Interview: Getting Better Every Game,2019-12-21,2305,105,6,Dec
572,12/18 Putnam Postgame Report: Kemba Plays Big Role,2019-12-19,1937,105,5,Dec
573,12/18 Putnam Pregame Interview: Defense Is Key For Celtics,2019-12-19,1042,47,6,Dec
574,Celtics Who Were Once Mistaken For... | Wingin' It with JetBlue,2019-12-18,208459,2742,138,Dec
575,12/16 Optum Practice Report: Much-Needed Break,2019-12-16,2295,97,7,Dec
576,12/11 Putnam Pregame Interview: Maintaining Momentum,2019-12-11,983,45,5,Dec
577,Celtics Visit Boston Children's Hospital To Spread Holiday Cheer,2019-12-11,5250,244,12,Dec
578,Seats for Soldiers Night presented by ReliaQuest: US Coast Guard Crew Recognized On Court,2019-12-10,1581,78,6,Dec
579,12/9 Putnam Postgame Report: Hayward’s Return,2019-12-10,3323,156,6,Dec
580,12/8 Optum Practice Report: Hayward Returns?,2019-12-08,4826,203,21,Dec
581,Sounds of the Celtics: Celtics Remain Undefeated at Home Against the Heat,2019-12-05,3176,147,3,Dec
582,12/4 Putnam Postgame Report: 2Q Turnaround,2019-12-05,2295,113,2,Dec
583,Celtics Players Guess Who The Baby Celtic Is | Wingin' It with JetBlue,2019-12-03,737054,8041,119,Dec
584,The Grind: Daniel Theis on Putting in the Work and Balancing Life on the Road,2019-12-03,3329,124,9,Dec
585,12/1 Putnam Postgame Report: Closing Out Strong,2019-12-02,2273,97,8,Dec
586,12/1 Putnam Pregame Interview: 'Impose Our Will Early',2019-12-01,711,37,4,Dec
587,11/29 Putnam Postgame Report: Needed a Better Effort,2019-11-29,1639,63,8,Nov
588,11/29 Putnam Pregame Interview: Kemba on Nets Rematch,2019-11-29,851,45,5,Nov
589,Grant Williams Shows Appreciation For Celtics Staff With Surprise Gifts,2019-11-28,2263,104,9,Nov
590,Celtics Players Give Power Rankings On Thanksgiving Foods,2019-11-28,52226,877,48,Nov
591,11/27 Putnam Postgame Report: The Kemba Effect,2019-11-28,2113,108,9,Nov
592,11/25 Putnam Postgame Report: Smart Was in the Zone,2019-11-26,1964,115,6,Nov
593,11/22 Putnam Postgame Report: Playing For Kemba,2019-11-23,1751,102,13,Nov
594,11/22 Putnam Pregame Interview: Closing Out On A High Note,2019-11-23,1602,63,4,Nov
595,11/20 Putnam Postgame Report: Earning Respect,2019-11-21,3180,139,15,Nov
596,11/20 Putnam Pregame Interview: New-Look Clippers,2019-11-21,1334,70,6,Nov
597,Kemba Walker Found The Perfect Fit In Boston,2019-11-20,5358,321,21,Nov
598,11/18 Putnam Postgame Report: Tatum’s Impact,2019-11-19,3259,133,13,Nov
599,11/17 Putnam Postgame Report: ‘I Thought It Was Going In’,2019-11-18,2417,88,18,Nov
600,Daniel Theis Breaks Down His Defensive Versatility: TD Bank Film Study,2019-11-17,3143,106,8,Nov
601,11/15 Putnam Postgame Report: Keeping The Win Streak Alive,2019-11-16,4035,166,16,Nov
602,11/15 Putnam Pregame Interview: ‘Staying Ready’,2019-11-16,1730,89,8,Nov
603,11/13 Putnam Postgame Report: ‘Just Try To Make An Impact’,2019-11-14,4241,153,21,Nov
604,11/11 Putnam Postgame Report: Walker Shines In 4Q,2019-11-12,3600,158,11,Nov
605,Road Trip Recap: Celtics Keep The Win Streak Alive on the Road,2019-11-10,8457,312,22,Nov
606,11/9 Putnam Postgame Report: Jaylen Leads the Way,2019-11-10,3474,152,12,Nov
607,11/9 Putnam Pregame Interview: Keeping The Second Unit Settled,2019-11-09,1114,56,12,Nov
608,TD Bank Film Study: Jaylen Brown's 'To The Basket' Mentality,2019-11-08,6719,229,14,Nov
609,11/7 Putnam Postgame Report: ‘It Made Me Emotional’,2019-11-08,2335,115,8,Nov
610,11/7 Putnam Pregame Interview: Attack Mindset,2019-11-08,1737,92,6,Nov
611,11/5 Putnam Postgame Report: Hayward Dominates,2019-11-06,3473,176,9,Nov
612,11/4 Optum Practice Report: Focused On Winning,2019-11-04,2810,127,17,Nov
613,The Grind: Gordon Hayward Reflects On The Highs and Lows of Being A Professional Athlete,2019-11-03,5631,309,20,Nov
614,Looking Back At The 2019 Boston Celtics Shamrock Foundation Tip-Off Gala,2019-11-02,2862,111,2,Nov
615,11/1 Putnam Postgame Report: Tatum Delivers,2019-11-02,2830,135,8,Nov
616,Boston Celtics Recall Their Worst Attempts At Halloween Costumes,2019-11-01,85204,1350,41,Nov
617,Boston Celtics Weigh In On The Best Halloween Candy,2019-10-31,55418,1045,45,Oct
618,Sounds of the Celtics: Boston Celtics Come Back In The Third To Defeat The Milwaukee Bucks,2019-10-31,8202,314,9,Oct
619,10/30 Putnam Postgame Report: ‘He’s A Warrior’,2019-10-31,3826,188,12,Oct
620,10/26 Putnam Postgame Report: ‘Doing The Little Things’,2019-10-27,3523,139,10,Oct
621,10/26 Putnam Pregame Interview: ‘This City Raised Me’,2019-10-26,1877,82,10,Oct
622,10/25 Putnam Postgame Report: ‘Feeling Like Myself’,2019-10-26,3316,155,16,Oct
623,OFFICIAL: Boston Celtics 2019-2020 Season Introduction Video,2019-10-25,13036,485,32,Oct
624,We're Back Home For the 2019-20 Season,2019-10-25,3240,271,22,Oct
625,10/23 Putnam Postgame Report: Lessons Learned From Opening Night,2019-10-24,1918,89,33,Oct
626,10/23 Putnam Pregame Interview: Williams Is Ready,2019-10-23,1221,63,12,Oct
627,10/22 Optum Practice Report: Jaylen on Extension,2019-10-22,2171,92,12,Oct
628,ALL ACCESS: Kemba Walker and Coach Stevens Mic'd Up During Practice,2019-10-22,10825,302,29,Oct
629,10/19 Optum Practice Report: Making Progress,2019-10-19,4633,150,16,Oct
630,10/18 Optum Practice Report: 'Be The Best Version Of Ourselves’,2019-10-18,4390,144,6,Oct
631,10/15 Putnam Postgame Report: ‘He Makes Our Jobs Easy’,2019-10-16,4468,151,17,Oct
632,10/15 Putnam Pregame Interview: Strus is Staying Ready,2019-10-15,1799,68,7,Oct
633,10/14 Optum Practice Report: Building Good Habits,2019-10-14,3943,145,17,Oct
634,10/13 Putnam Postgame Report: Taking Advantage of a Starting Role,2019-10-14,2440,106,4,Oct
635,10/11 Putnam Postgame Report: Playing Connected,2019-10-12,3939,147,5,Oct
636,10/11 Putnam Pregame Interview: Tacko’s Return to Florida,2019-10-11,3745,131,20,Oct
637,10/10 Optum Practice Report: ‘Can’t Wait To Get Out There’,2019-10-10,3751,140,11,Oct
638,10/8 Optum Practice Report: Poirier's Presence,2019-10-08,3499,115,8,Oct
639,10/6 Putnam Postgame Report: ‘We Want Tacko’,2019-10-07,8649,246,38,Oct
640,"With Training Camp In The Past, All Eyes Are On Preseason Today",2019-10-06,2223,133,10,Oct
641,10/5 Optum Practice Report: Open Practice at TD Garden,2019-10-05,12067,289,24,Oct
642,10/3 Optum Practice Report: Tacko Fall Proving That He Belongs,2019-10-03,10445,250,33,Oct
643,10/1 Optum Practice Report: Training Camp Is Now In Session,2019-10-01,7618,217,23,Oct
644,Kemba Walker at Media Day 2019,2019-09-30,10092,259,19,Sep
645,Brad Wanamaker at Media Day 2019,2019-09-30,2513,77,6,Sep
646,Tremont Waters at Media Day 2019,2019-09-30,2619,85,8,Sep
647,Grant Williams at Media Day 2019,2019-09-30,5482,166,23,Sep
648,Daniel Theis at Media Day 2019,2019-09-30,11275,211,19,Sep
649,Jayson Tatum at Media Day 2019,2019-09-30,11579,285,13,Sep
650,Max Strus at Media Day 2019,2019-09-30,3572,86,9,Sep
651,Brad Stevens at Media Day 2019,2019-09-30,5146,108,12,Sep
652,Marcus Smart at Celtics Media Day 2019,2019-09-30,8083,219,31,Sep
653,Robert Williams III at Celtics Media Day 2019,2019-09-30,7121,172,36,Sep
654,Vincent Poirier at Celtics Media Day 2019,2019-09-30,9261,201,25,Sep
655,Semi Ojeleye at Celtics Media Day 2019,2019-09-30,3722,100,5,Sep
656,Romeo Langford at Celtics Media Day 2019,2019-09-30,15176,309,30,Sep
657,Enes Kanter at Celtics Media Day 2019,2019-09-30,13992,153,9,Sep
658,Carsen Edwards at Celtics Media Day 2019,2019-09-30,7730,202,12,Sep
659,Gordon Hayward at Celtics Media Day 2019,2019-09-30,14236,312,55,Sep
660,Tacko Fall at Celtics Media Day 2019,2019-09-30,20003,507,78,Sep
661,Jaylen Brown at Celtics Media Day 2019,2019-09-30,13909,327,71,Sep
662,The Celtics and Arbella Unveiled Three New Home Court Makeovers Earlier This Summer,2019-09-27,1920,70,6,Sep
663,12the Annual Teeing Up For Kids Golf Tournament Hosted By The Boston Celtics Shamrock Foundation,2019-09-25,438,22,0,Sep
664,Brad Stevens Talks About the Upcoming Season at the Shamrock Foundation Golf Tournament,2019-09-23,4089,123,19,Sep
665,Tremont Waters and Tacko Fall cheer on the Connecticut Sun in Game 1 of the WNBA Semifinals,2019-09-19,2434,84,9,Sep
666,Catching Up With The FIBA World Cup: Another Win Sends Team USA To The Quarterfinals,2019-09-09,1260,43,4,Sep
667,Hall of Fame Class of 2019: Paul Westphal,2019-09-07,1830,43,5,Sep
668,"Braun, Cooper, Westphal, Fitch Inducted into Hall of Fame",2019-09-06,295,19,1,Sep
669,Paul Westphal speaks at the 2019 HOF Enshrinement,2019-09-06,368,23,2,Sep
670,FIBA World Cup: Team USA Remains Undefeated,2019-09-05,1106,50,6,Sep
671,Keeping Up With The C's At The FIBA World Cup: Team USA Advances Past Czech Republic and Turkey,2019-09-03,2088,74,8,Sep
